nohup: ignoring input
⚠️  无法导入cldm: No module named 'cldm'

🚀 任务: 移动物体
   筛选任务 'move_object': 2014/6000 个样本
✅ 加载数据集 (move_object): 2014 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 2014 个样本
   筛选任务 'move_object': 245/750 个样本
✅ 加载数据集 (move_object): 245 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 245 个样本
   筛选任务 'move_object': 241/750 个样本
✅ 加载数据集 (move_object): 241 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 241 个样本
✅ 创建任务 'move_object' 数据加载器完成
   训练集: 2014 个样本, 1007 个批次
   验证集: 245 个样本, 123 个批次
   测试集: 241 个样本, 121 个批次
   批次大小: 2
   分辨率: 512x512
   输入帧形状: (20, 3, 512, 512)
   目标帧形状: (3, 512, 512)
🚀 使用设备: cuda
🎯 任务: move_object
📉 学习率: 5e-06 (低LR模式)
📦 等效BatchSize: 32
📦 初始化模型...
🚀 开始极稳模式训练 (LR=5e-06)
Epoch 2 | Batch 20 | Loss: 0.0188
Epoch 2 | Batch 30 | Loss: 0.1066
Epoch 2 | Batch 40 | Loss: 0.0317
Epoch 2 | Batch 50 | Loss: 0.1364
Epoch 2 | Batch 60 | Loss: 0.0673
Epoch 2 | Batch 70 | Loss: 0.0024
Epoch 2 | Batch 80 | Loss: 0.1896
Epoch 2 | Batch 90 | Loss: 0.2545
Epoch 2 | Batch 100 | Loss: 0.1337
Epoch 2 | Batch 110 | Loss: 0.0040
Epoch 2 | Batch 120 | Loss: 0.0048
Epoch 2 | Batch 130 | Loss: 0.3013
Epoch 2 | Batch 140 | Loss: 0.1493
Epoch 2 | Batch 150 | Loss: 0.1313
Epoch 2 | Batch 160 | Loss: 0.1625
Epoch 2 | Batch 170 | Loss: 0.0048
Epoch 2 | Batch 180 | Loss: 0.1770
Epoch 2 | Batch 190 | Loss: 0.0433
Epoch 2 | Batch 200 | Loss: 0.0646
Epoch 2 | Batch 210 | Loss: 0.1812
Epoch 2 | Batch 220 | Loss: 0.1196
Epoch 2 | Batch 230 | Loss: 0.0631
Epoch 2 | Batch 240 | Loss: 0.2636
Epoch 2 | Batch 250 | Loss: 0.1550
Epoch 2 | Batch 260 | Loss: 0.1758
Epoch 2 | Batch 270 | Loss: 0.4220
Epoch 2 | Batch 280 | Loss: 0.3765
Epoch 2 | Batch 290 | Loss: 0.1322
Epoch 2 | Batch 300 | Loss: 0.0475
Epoch 2 | Batch 310 | Loss: 0.0673
Epoch 2 | Batch 320 | Loss: 0.3139
Epoch 2 | Batch 330 | Loss: 0.0068
Epoch 2 | Batch 340 | Loss: 0.1994
Epoch 2 | Batch 350 | Loss: 0.0697
Epoch 2 | Batch 360 | Loss: 0.3436
Epoch 2 | Batch 370 | Loss: 0.0068
Epoch 2 | Batch 380 | Loss: 0.1505
Epoch 2 | Batch 390 | Loss: 0.0781
Epoch 2 | Batch 400 | Loss: 0.0662
Epoch 2 | Batch 410 | Loss: 0.0155
Epoch 2 | Batch 420 | Loss: 0.0779
Epoch 2 | Batch 430 | Loss: 0.0941
Epoch 2 | Batch 440 | Loss: 0.3698
Epoch 2 | Batch 450 | Loss: 0.0107
Epoch 2 | Batch 460 | Loss: 0.0717
Epoch 2 | Batch 470 | Loss: 0.2070
Epoch 2 | Batch 480 | Loss: 0.0552
Epoch 2 | Batch 490 | Loss: 0.1091
Epoch 2 | Batch 500 | Loss: 0.1642
Epoch 2 | Batch 510 | Loss: 0.0989
Epoch 2 | Batch 520 | Loss: 0.0951
Epoch 2 | Batch 530 | Loss: 0.1780
Epoch 2 | Batch 540 | Loss: 0.0522
Epoch 2 | Batch 550 | Loss: 0.2694
Epoch 2 | Batch 560 | Loss: 0.0435
Epoch 2 | Batch 570 | Loss: 0.2026
Epoch 2 | Batch 580 | Loss: 0.1011
Epoch 2 | Batch 590 | Loss: 0.0249
Epoch 2 | Batch 600 | Loss: 0.0272
Epoch 2 | Batch 610 | Loss: 0.0146
Epoch 2 | Batch 620 | Loss: 0.0636
Epoch 2 | Batch 630 | Loss: 0.4960
Epoch 2 | Batch 640 | Loss: 0.1005
Epoch 2 | Batch 650 | Loss: 0.2101
Epoch 2 | Batch 660 | Loss: 0.0109
Epoch 2 | Batch 670 | Loss: 0.2056
Epoch 2 | Batch 680 | Loss: 0.0158
Epoch 2 | Batch 690 | Loss: 0.1816
Epoch 2 | Batch 700 | Loss: 0.1269
Epoch 2 | Batch 710 | Loss: 0.0729
Epoch 2 | Batch 720 | Loss: 0.1642
Epoch 2 | Batch 730 | Loss: 0.0058
Epoch 2 | Batch 740 | Loss: 0.0527
Epoch 2 | Batch 750 | Loss: 0.0071
Epoch 2 | Batch 760 | Loss: 0.1197
Epoch 2 | Batch 770 | Loss: 0.1850
Epoch 2 | Batch 780 | Loss: 0.0910
Epoch 2 | Batch 790 | Loss: 0.1778
Epoch 2 | Batch 800 | Loss: 0.1284
Epoch 2 | Batch 810 | Loss: 0.2488
Epoch 2 | Batch 820 | Loss: 0.0592
Epoch 2 | Batch 830 | Loss: 0.3342
Epoch 2 | Batch 840 | Loss: 0.1857
Epoch 2 | Batch 850 | Loss: 0.2723
Epoch 2 | Batch 860 | Loss: 0.2777
Epoch 2 | Batch 870 | Loss: 0.0043
Epoch 2 | Batch 880 | Loss: 0.0091
Epoch 2 | Batch 890 | Loss: 0.0165
Epoch 2 | Batch 900 | Loss: 0.2261
Epoch 2 | Batch 910 | Loss: 0.0264
Epoch 2 | Batch 920 | Loss: 0.0632
Epoch 2 | Batch 930 | Loss: 0.1317
Epoch 2 | Batch 940 | Loss: 0.0260
Epoch 2 | Batch 950 | Loss: 0.0065
Epoch 2 | Batch 960 | Loss: 0.0114
Epoch 2 | Batch 970 | Loss: 0.4321
Epoch 2 | Batch 980 | Loss: 0.0540
Epoch 2 | Batch 990 | Loss: 0.0121
Epoch 2 | Batch 1000 | Loss: 0.0708
Epoch 2 | Train: 0.1274 | Val: 0.1300
Epoch 3 | Batch 0 | Loss: 0.2161
Epoch 3 | Batch 10 | Loss: 0.1411
Epoch 3 | Batch 20 | Loss: 0.0551
Epoch 3 | Batch 30 | Loss: 0.0619
Epoch 3 | Batch 40 | Loss: 0.0975
Epoch 3 | Batch 50 | Loss: 0.0044
Epoch 3 | Batch 60 | Loss: 0.2091
Epoch 3 | Batch 70 | Loss: 0.1889
Epoch 3 | Batch 80 | Loss: 0.0217
Epoch 3 | Batch 90 | Loss: 0.0257
Epoch 3 | Batch 100 | Loss: 0.1378
Epoch 3 | Batch 110 | Loss: 0.1002
Epoch 3 | Batch 120 | Loss: 0.0482
Epoch 3 | Batch 130 | Loss: 0.1242
Epoch 3 | Batch 140 | Loss: 0.0418
Epoch 3 | Batch 150 | Loss: 0.1476
Epoch 3 | Batch 160 | Loss: 0.0644
Epoch 3 | Batch 170 | Loss: 0.0284
Epoch 3 | Batch 180 | Loss: 0.0329
Epoch 3 | Batch 190 | Loss: 0.4713
Epoch 3 | Batch 200 | Loss: 0.1519
Epoch 3 | Batch 210 | Loss: 0.0939
Epoch 3 | Batch 220 | Loss: 0.0037
Epoch 3 | Batch 230 | Loss: 0.2505
Epoch 3 | Batch 240 | Loss: 0.0272
Epoch 3 | Batch 250 | Loss: 0.2392
Epoch 3 | Batch 260 | Loss: 0.0941
Epoch 3 | Batch 270 | Loss: 0.0650
Epoch 3 | Batch 280 | Loss: 0.0696
Epoch 3 | Batch 290 | Loss: 0.0053
Epoch 3 | Batch 300 | Loss: 0.3951
Epoch 3 | Batch 310 | Loss: 0.0109
Epoch 3 | Batch 320 | Loss: 0.0278
Epoch 3 | Batch 330 | Loss: 0.0654
Epoch 3 | Batch 340 | Loss: 0.3907
Epoch 3 | Batch 350 | Loss: 0.1099
Epoch 3 | Batch 360 | Loss: 0.0687
Epoch 3 | Batch 370 | Loss: 0.0162
Epoch 3 | Batch 380 | Loss: 0.4865
Epoch 3 | Batch 390 | Loss: 0.0898
Epoch 3 | Batch 400 | Loss: 0.1365
Epoch 3 | Batch 410 | Loss: 0.0320
Epoch 3 | Batch 420 | Loss: 0.0096
Epoch 3 | Batch 430 | Loss: 0.1567
Epoch 3 | Batch 440 | Loss: 0.0998
Epoch 3 | Batch 450 | Loss: 0.3338
Epoch 3 | Batch 460 | Loss: 0.0392
Epoch 3 | Batch 470 | Loss: 0.2330
Epoch 3 | Batch 480 | Loss: 0.2299
Epoch 3 | Batch 490 | Loss: 0.0523
Epoch 3 | Batch 500 | Loss: 0.0084
